feature_id,function,source_workbook_label,legacy_workflow,source_feature_cell,workbook_sheets,workbook_recorded_status,workbook_caveats,records,rules,user_workflow,code_refs,code_paths,code_status,runtime_status,gap,acceptance_ids,existing_test_paths,phase,dependencies
F11,Payer utilization mix,Payer utilization mix,"W06,W10",FEATURE_MAP!A15:J15,PAYER_MIX; MONTHLY,IMPLEMENTED: known payer mix and explicit Unknown utilization bucket; unresolved prices remain unvalued,Unknown payer utilization is now separately visible; unresolved prices remain unvalued. Definition R-20 retains stale wording that the Unknown-payer workflow is unresolved.,D06; D07; D08; D17,N15,Finance reconciles payer utilization to all source units and resolves Unknown payer,C02; C05,packages/rev-ops-service/src/index.ts; packages/rev-ops-service/src/reconciliation.ts; packages/domain-contracts/src/episode.ts; packages/domain-contracts/src/utilizationReview.ts; packages/case-repository/src/episodePersistenceGateway.ts,ADJACENT_ONLY,NOT_RERUN,Aggregate import planner does not implement payer-day allocation or mix; payer identity is required but pricing approval is not a dependency of utilization counts; priced overlay depends on F07,AT11; AT37,tests/unit/rev-ops-calendar.test.ts; tests/unit/rev-ops-month-close.test.ts; tests/integration/rev-ops.test.ts; tests/integration/s2-episode-persistence.test.ts; tests/unit/episode-utilization-contracts.test.ts,P3,F04; F15
F12,UR and physician workflow,UR and physician workflow,W06,FEATURE_MAP!A16:J16,UR_PAYER; ENCOUNTERS,"IMPLEMENTED: encounter UR dates, outcome reasons and status units; native validation pending","UR review dates/reasons/status units are encounter inputs; the workbook does not establish source-authoritative payer decisions or an IOP visit-level authorization lifecycle.; The feature row retains a pending label; PRESSURE_TEST reports later native validation, but that prior mutation proof is not rebound to the current hash.",D03; D09; D24,N16,UR owner records source review date/reason and reconciles submitted status units,C05; C06,packages/domain-contracts/src/episode.ts; packages/domain-contracts/src/utilizationReview.ts; packages/case-repository/src/episodePersistenceGateway.ts; packages/domain-contracts/src/benefits.ts; packages/benefits-service/src/benefitsCommandService.ts,ADJACENT_ONLY,NOT_RERUN,Episode authorization foundations exist; workbook operating UR/physician report not connected,AT12,tests/integration/s2-episode-persistence.test.ts; tests/unit/episode-utilization-contracts.test.ts; tests/integration/benefits-command-service.test.ts; tests/workflow/benefits.test.ts,P3,F02; F26
F13,IOP enrollment and pipeline,IOP enrollment and pipeline,W03,FEATURE_MAP!A17:J17,IOP_ROSTER; IOP; IOP_VISITS,"IMPLEMENTED: roster, ended pending episodes and explicit attendance; native validation pending","Enrollment/status/pending end dates exist; treatment-plan frequency history, source orders and explicit inpatient-to-IOP step-down relationships are absent.; The feature row retains a pending label; PRESSURE_TEST reports later native validation, but that prior mutation proof is not rebound to the current hash.",D02; D05; D06,N17; N18,"IOP director reviews enrollment/pending pipeline, frequency changes and enrollment end",C08; C09,packages/domain-contracts/src/iopReconciliation.ts; packages/domain-contracts/src/iopReconciliationImport.ts; app/src/workspaces/IopReconciliation.tsx; app/src/App.tsx; packages/domain-contracts/src/iopPersistence.ts; packages/api-service/src/iopReconciliationRoutes.ts; packages/case-repository/src/iopReconciliationGateway.ts; packages/api-service/src/server.ts; packages/api-service/src/devMain.ts; prisma/schema.prisma; prisma/migrations/20260908000100_iop_reconciliation_persistence/migration.sql,PARTIAL_REUSE,NOT_RERUN,Synthetic enrollment/plan refs exist; enrollment lifecycle/schedule/step-down editing absent,AT13,tests/unit/iop-reconciliation-sample.test.ts; tests/unit/iop-reconciliation-import.test.ts; app/src/workspaces/IopReconciliation.test.tsx; tests/unit/iop-persistence-contracts.test.ts; tests/integration/iop-reconciliation-persistence.test.ts,P2,X01; X02
F14,IOP monthly attendance grid,IOP monthly attendance grid,"W03,W04",FEATURE_MAP!A18:J18,IOP_ROSTER; IOP_VISITS; IOP_GRID,"IMPLEMENTED: attendance grid, monthly E/X counts and roster detail; native validation pending","Grid/E-X markers and attendance counts exist; structured expected schedules and compliance against prescribed plan versions are absent.; The feature row retains a pending label; PRESSURE_TEST reports later native validation, but that prior mutation proof is not rebound to the current hash.",D05; D06,N18; N19,"Program user reviews calendar states, entries/exits, scheduled visits and attendance",C08,packages/domain-contracts/src/iopReconciliation.ts; packages/domain-contracts/src/iopReconciliationImport.ts; app/src/workspaces/IopReconciliation.tsx; app/src/App.tsx,PARTIAL_REUSE,NOT_RERUN,No production attendance grid or controlled writeback; local JSON preview is separate,AT14,tests/unit/iop-reconciliation-sample.test.ts; tests/unit/iop-reconciliation-import.test.ts; app/src/workspaces/IopReconciliation.test.tsx,P2,F13
F15,"IOP sessions, participant units and patient-days","IOP sessions, participant units and billable days",W04,FEATURE_MAP!A19:J19,IOP_VISITS; IOP_SESSIONS; SESSION_ATTENDANCE; IOP,"IMPLEMENTED: delivered, non-group, group, session and patient-day counts; native validation pending","Sessions, attendance links, participant units, total/non-group services and modeled billable days exist; therapist note audit and charge-slip/EMR reconciliation records are absent.; The feature row retains a pending label; PRESSURE_TEST reports later native validation, but that prior mutation proof is not rebound to the current hash.",D06; D22,N20,"Director reconciles sessions, participant services, group/non-group units and patient-days",C08; C09,packages/domain-contracts/src/iopReconciliation.ts; packages/domain-contracts/src/iopReconciliationImport.ts; app/src/workspaces/IopReconciliation.tsx; app/src/App.tsx; packages/domain-contracts/src/iopPersistence.ts; packages/api-service/src/iopReconciliationRoutes.ts; packages/case-repository/src/iopReconciliationGateway.ts; packages/api-service/src/server.ts; packages/api-service/src/devMain.ts; prisma/schema.prisma; prisma/migrations/20260908000100_iop_reconciliation_persistence/migration.sql,PARTIAL_REUSE,NOT_RERUN,IOP link reconciliation exists; complete operational counts and payment eligibility distinct; X04 documentation/charge review is a separate overlay and never blocks valid operational counts,AT15,tests/unit/iop-reconciliation-sample.test.ts; tests/unit/iop-reconciliation-import.test.ts; app/src/workspaces/IopReconciliation.test.tsx; tests/unit/iop-persistence-contracts.test.ts; tests/integration/iop-reconciliation-persistence.test.ts,P2,F13; F14
F16,IOP meals and payable attendance,IOP meals and payable attendance,"W04,W11",FEATURE_MAP!A20:J20,IOP_VISITS; IOP; ANCILLARY,IMPLEMENTED - baseline verified,Payable meals are explicit synthetic quantities; actual payer/vendor meal eligibility policy is not evidenced.,D06; D14,N21,Program/finance reviews delivered and nonpayable meals against source visits,C08,packages/domain-contracts/src/iopReconciliation.ts; packages/domain-contracts/src/iopReconciliationImport.ts; app/src/workspaces/IopReconciliation.tsx; app/src/App.tsx,ADJACENT_ONLY,NOT_RERUN,No meal/payment-quantity model; workbook arithmetic is not contract approval,AT16,tests/unit/iop-reconciliation-sample.test.ts; tests/unit/iop-reconciliation-import.test.ts; app/src/workspaces/IopReconciliation.test.tsx,P2,F14; F15
F17,Role-level staffing detail,Role-level staffing detail,W08,FEATURE_MAP!A21:J21,STAFF_DETAIL; STAFF_STANDARDS; STAFFING,IMPLEMENTED - baseline verified,,D11; D17; D19,N22,Staffing owner enters/imports role-level disjoint hours and resolves corrections,C01; C07,packages/domain-contracts/src/revOps.ts; packages/case-repository/src/revOpsGateway.ts; app/src/workspaces/RevOps.tsx; packages/rev-ops-service/src/index.ts; packages/api-service/src/revOpsExport.ts,PARTIAL_REUSE,NOT_RERUN,Current single daily-hours metric lacks role/category ledger and staffing upload reconciliation,AT17,tests/unit/rev-ops-calendar.test.ts; tests/unit/rev-ops-month-close.test.ts; tests/integration/rev-ops.test.ts; tests/unit/rev-ops-export.test.ts,P4,F04; F26; X02
F18,Daily staffing budgets and rolling variance,Daily staffing budgets and rolling variance,W08,FEATURE_MAP!A22:J22,STAFFING; STAFF_REPORT; STAFF_STANDARDS; BUDGET,IMPLEMENTED - baseline verified,Staff standards are flat within effective periods; no approved census-band staffing policy is inferred.,D11; D12; D13; D17,N23; N24,"Staffing leader reviews target contributors, hours variance and seven-day trend",C07,packages/domain-contracts/src/revOps.ts; packages/rev-ops-service/src/index.ts; packages/case-repository/src/revOpsGateway.ts; packages/api-service/src/revOpsExport.ts,PARTIAL_REUSE,NOT_RERUN,"Census-times-hours target exists; fixed/role/banded budgets and rolling window need reconciliation; use the P3 D13 budget-definition foundation, not completed F21 comparisons",AT18; AT36,tests/unit/rev-ops-month-close.test.ts; tests/unit/rev-ops-export.test.ts,P4,F17; F26; X01
F19,Agency and one-to-one costs,Agency and one-to-one costs,W09,FEATURE_MAP!A23:J23,STAFF_DETAIL; STAFF_REPORT; MONTHLY,IMPLEMENTED - baseline verified,One-to-one memo cost uses regular wage; actual allocation of overlapping agency and one-to-one hours/cost remains unresolved.,D11; D12,N25; N26,Finance reviews effective agency/one-to-one cost and subset disclosures,C07,packages/domain-contracts/src/revOps.ts; packages/rev-ops-service/src/index.ts; packages/case-repository/src/revOpsGateway.ts; packages/api-service/src/revOpsExport.ts,ADJACENT_ONLY,NOT_RERUN,No wage/rate or labor-cost engine; avoid adding subset cost twice,AT19,tests/unit/rev-ops-month-close.test.ts; tests/unit/rev-ops-export.test.ts,P4,F17; F26
F20,"Training, PTO and productive-hour definitions","Training, PTO and productive-hour definitions","W08,W09",FEATURE_MAP!A24:J24,STAFFING; MONTHLY,IMPLEMENTED - baseline verified,,D04; D11; D17,N22; N27,Staffing owner classifies PTO/training and reviews productive HPPD,C07,packages/domain-contracts/src/revOps.ts; packages/rev-ops-service/src/index.ts; packages/case-repository/src/revOpsGateway.ts; packages/api-service/src/revOpsExport.ts,PARTIAL_REUSE,NOT_RERUN,Approved hours definition exists; productive categories and HPPD not implemented,AT20,tests/unit/rev-ops-month-close.test.ts; tests/unit/rev-ops-export.test.ts,P4,F04; F17; F26
F21,Revenue/labor budget comparisons,Revenue/labor budget comparisons,W12,FEATURE_MAP!A25:J25,BUDGET; MONTHLY; DASHBOARD; SETUP,IMPLEMENTED - baseline verified,Budgets and uniformly phased comparisons exist; workbook inputs do not provide an authenticated approval/version history.,D08; D11; D13; D17,N28; N29,Finance approves compatible program/unit budgets and reviews full/phased variances,C02; C07,packages/rev-ops-service/src/index.ts; packages/rev-ops-service/src/reconciliation.ts; packages/domain-contracts/src/revOps.ts; packages/case-repository/src/revOpsGateway.ts; packages/api-service/src/revOpsExport.ts,PARTIAL_REUSE,NOT_RERUN,"Current budget counts remain separate from staffing target calculation; no revenue/labor dollar budget; P3 defines compatible budgets, revenue comparison needs F07, and full labor comparison completes after F17-F20 in P4",AT21; AT38,tests/unit/rev-ops-calendar.test.ts; tests/unit/rev-ops-month-close.test.ts; tests/integration/rev-ops.test.ts; tests/unit/rev-ops-export.test.ts,P4,X01; F26; F07; F17; F18; F19; F20
F22,Ancillary invoices and lease separation,Ancillary invoices and lease separation,W11,FEATURE_MAP!A26:J26,ANCILLARY; INVOICES; MONTHLY,IMPLEMENTED - baseline verified,"Estimated ancillary, invoice adjustments/payments and lease separation exist; real vendor-contract and invoice source reconciliation is not evidenced.",D06; D11; D14,N30,"Finance reconciles service invoice quantities, fixed fees, lease, credits and payments",C01; C03,packages/domain-contracts/src/revOps.ts; packages/case-repository/src/revOpsGateway.ts; app/src/workspaces/RevOps.tsx; packages/api-service/src/revOpsImport.ts; packages/api-service/src/revOpsXlsx.ts; packages/api-service/src/revOpsExport.ts,ADJACENT_ONLY,NOT_RERUN,No ancillary/AP workflow; receipt-export pattern is not vendor invoice generation,AT22,tests/unit/rev-ops-calendar.test.ts; tests/unit/rev-ops-month-close.test.ts; tests/integration/rev-ops.test.ts; tests/unit/rev-ops-xlsx.test.ts; tests/unit/rev-ops-fields.test.ts,P5,F04; F16; F19
F23,Collections and reconciliation to balances,Collections and reconciliation to balances,EXTENSION,FEATURE_MAP!A27:J27,COLLECTIONS; RECEIPT_ALLOCATIONS; ENCOUNTERS; MONTHLY,IMPLEMENTED - baseline verified,Cash receipts and service-month allocations are separate from modeled allowance; modeled outstanding is not authoritative billed accounts receivable. Editable workbook history does not establish immutable receipt/correction history.,D08; D15,N31,"Finance imports posted receipts, allocates/reverses cash and reviews modeled outstanding",C02; C03,packages/rev-ops-service/src/index.ts; packages/rev-ops-service/src/reconciliation.ts; packages/api-service/src/revOpsImport.ts; packages/api-service/src/revOpsXlsx.ts; packages/api-service/src/revOpsExport.ts,MISSING,NOT_RERUN,No cash/allocation workflow; forecast/collections placeholders remain null,AT23,tests/unit/rev-ops-calendar.test.ts; tests/unit/rev-ops-month-close.test.ts; tests/integration/rev-ops.test.ts; tests/unit/rev-ops-xlsx.test.ts; tests/unit/rev-ops-fields.test.ts,P5,F07; X02
F24,Forecast separate from actuals,Forecast separate from actuals,EXTENSION,FEATURE_MAP!A28:J28,FORECAST; MONTHLY,"IMPLEMENTED: version/as-of, blended or editable payer-mix forecast; no combined actual/forecast auto-rollforward",Forecast version/as-of and explicit payer mix exist; combined actual-plus-forecast automatic rollforward is not implemented.,D07; D13; D16,N32,Finance saves scenario/as-of and changes units or payer mix independently of actuals,C02,packages/rev-ops-service/src/index.ts; packages/rev-ops-service/src/reconciliation.ts,MISSING,NOT_RERUN,No forecast runtime; workbook has version/as-of drivers but no automatic actual/forecast rollforward,AT24; AT38,tests/unit/rev-ops-calendar.test.ts; tests/unit/rev-ops-month-close.test.ts; tests/integration/rev-ops.test.ts,P6,F10; F21
F25,Executive reporting and charts,Executive reporting and charts,W13,FEATURE_MAP!A29:J29,DASHBOARD; MANAGEMENT_REPORT; MONTHLY,IMPLEMENTED - baseline verified,"Reports and charts are synthetic operating projections; no live source freshness, real operational outcome or adoption evidence follows from their correctness.",D04; D08; D11; D13; D15; D16; D17; D20,N06; N28; N33,Leader reviews monthly/YTD contributors and approved reports with freshness and exceptions,C01; C02; C03; C07,packages/domain-contracts/src/revOps.ts; packages/case-repository/src/revOpsGateway.ts; app/src/workspaces/RevOps.tsx; packages/rev-ops-service/src/index.ts; packages/rev-ops-service/src/reconciliation.ts; packages/api-service/src/revOpsImport.ts; packages/api-service/src/revOpsXlsx.ts; packages/api-service/src/revOpsExport.ts,PARTIAL_REUSE,NOT_RERUN,Count/staffing close exports exist; full cross-domain dashboard and consolidation absent,AT25; AT35; AT37; AT38; AT40,tests/unit/rev-ops-calendar.test.ts; tests/unit/rev-ops-month-close.test.ts; tests/integration/rev-ops.test.ts; tests/unit/rev-ops-xlsx.test.ts; tests/unit/rev-ops-fields.test.ts; tests/unit/rev-ops-export.test.ts,P6,F05; F07; F15; F20; F21; F22; F23; F24; X03
F26,Metric dictionary and rule registry,Metric dictionary and rule registry,"W07,W13",FEATURE_MAP!A30:J30,DEFINITIONS; FORMULA_CATALOG; FEATURE_MAP,IMPLEMENTED: specific definitions for all 25 metrics and 22 rules; native validation pending,"All 25 metrics and 22 rules are cataloged; the catalog is explanatory, and not every N01-N39 acceptance case has executable test evidence. R-20 wording predates the explicit Unknown-payer bucket.; The feature row retains a pending label; PRESSURE_TEST reports later native validation, but that prior mutation proof is not rebound to the current hash.",D17; D23,N34,"Definition owner reviews metric grain, rule semantics, effective versions and examples",C07; C10,packages/domain-contracts/src/revOps.ts; packages/rev-ops-service/src/index.ts; packages/case-repository/src/revOpsGateway.ts; packages/api-service/src/revOpsExport.ts; packages/domain-contracts/src/analytics.ts,PARTIAL_REUSE,NOT_RERUN,Narrow staffing definition is separate from analytics scaffold; general approved registry absent,AT26; AT36,tests/unit/rev-ops-month-close.test.ts; tests/unit/rev-ops-export.test.ts,P0,X01
F27,"Decisions, source reconciliation and change history","Decisions, source reconciliation and change history",W01-W13,FEATURE_MAP!A31:J31,CORRECTIONS; SOURCE_FORMULAS; SOURCE_MAP; README,IMPLEMENTED - baseline verified,"Manual correction/decision/source registers exist; immutable, attributed revision history is not enforced by the workbook.",D18; D19; D20; D24,N35,"Reviewer traces source, decision and correction without rewriting history",C01; C02; C05; C09,packages/domain-contracts/src/revOps.ts; packages/case-repository/src/revOpsGateway.ts; app/src/workspaces/RevOps.tsx; packages/rev-ops-service/src/index.ts; packages/rev-ops-service/src/reconciliation.ts; packages/domain-contracts/src/episode.ts; packages/domain-contracts/src/utilizationReview.ts; packages/case-repository/src/episodePersistenceGateway.ts; packages/domain-contracts/src/iopPersistence.ts; packages/api-service/src/iopReconciliationRoutes.ts; packages/case-repository/src/iopReconciliationGateway.ts; packages/api-service/src/server.ts; packages/api-service/src/devMain.ts; prisma/schema.prisma; prisma/migrations/20260908000100_iop_reconciliation_persistence/migration.sql,PARTIAL_REUSE,NOT_RERUN,Existing scoped history reusable; Excel journal editable and no cross-domain correction-impact model,AT27,tests/unit/rev-ops-calendar.test.ts; tests/unit/rev-ops-month-close.test.ts; tests/integration/rev-ops.test.ts; tests/integration/s2-episode-persistence.test.ts; tests/unit/episode-utilization-contracts.test.ts; tests/unit/iop-persistence-contracts.test.ts; tests/integration/iop-reconciliation-persistence.test.ts,P0,X01
F28,Feature completeness and regression tests,Feature completeness and regression tests,W01-W13,FEATURE_MAP!A32:J32,CHECKS; PRESSURE_TEST; INDEX; EXAMPLES; FEATURE_MAP; COVERAGE,PARTIAL: arithmetic and selected mutations; all N01-N39 acceptance cases not yet evidenced,43 cached live checks and 30 examples can be inspected; not all N01-N39 acceptance cases are evidenced. Prior 32 native mutations belong to the prior validated snapshot and were not rerun for this current hash.,D17; D18,N36,"Product/reviewer checks every feature, rule and workflow against evidenced acceptance",C02; C03; C07; C08; C09,packages/rev-ops-service/src/index.ts; packages/rev-ops-service/src/reconciliation.ts; packages/api-service/src/revOpsImport.ts; packages/api-service/src/revOpsXlsx.ts; packages/api-service/src/revOpsExport.ts; packages/domain-contracts/src/revOps.ts; packages/case-repository/src/revOpsGateway.ts; packages/domain-contracts/src/iopReconciliation.ts; packages/domain-contracts/src/iopReconciliationImport.ts; app/src/workspaces/IopReconciliation.tsx; app/src/App.tsx; packages/domain-contracts/src/iopPersistence.ts; packages/api-service/src/iopReconciliationRoutes.ts; packages/case-repository/src/iopReconciliationGateway.ts; packages/api-service/src/server.ts; packages/api-service/src/devMain.ts; prisma/schema.prisma; prisma/migrations/20260908000100_iop_reconciliation_persistence/migration.sql,PARTIAL_REUSE,NOT_RERUN,30 examples/32 mutations do not cover all39 rule acceptances; platform-wide parity unproven,AT28; AT40,tests/unit/rev-ops-calendar.test.ts; tests/unit/rev-ops-month-close.test.ts; tests/integration/rev-ops.test.ts; tests/unit/rev-ops-xlsx.test.ts; tests/unit/rev-ops-fields.test.ts; tests/unit/rev-ops-export.test.ts; tests/unit/iop-reconciliation-sample.test.ts; tests/unit/iop-reconciliation-import.test.ts; app/src/workspaces/IopReconciliation.test.tsx; tests/unit/iop-persistence-contracts.test.ts; tests/integration/iop-reconciliation-persistence.test.ts,P0,
