rule_id,purpose,workbook_catalog_cell,feature_ids,record_ids,algorithm_text,guardrails,definition_status,worked_example_count,worked_example_cells,current_evidence,unresolved_distinction,acceptance_ids
N11,"Gross, allowance and adjustments",FORMULA_CATALOG!A15:D15,F09,D08; D10,Specification: NetModeled = BaseModeledAllowance + ApprovedSignedAllowanceAdjustments,"Gross charges, charity amount, payer liability and patient liability are separate fields. A benefit coinsurance amount is not an automatic deduction from facility PPS allowance.",CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,1,EXAMPLES!A15:H15,Cached worked-example result only where a row exists; not all acceptance covered,Current assistance gross/share/classification fields do not prove a complete signed adjustment/benefit adjudicator.,AT09
N12,Synthetic contract valuation,FORMULA_CATALOG!A16:D16,F07; F10,D06; D07; D08; D01; D23,"Specification: =IF([@State]<>""READY"","""",IF([@Method]=""PER UNIT"",ROUND([@Units]*[@Rate],2),IF([@Method]=""PCT CHARGES"",ROUND([@GrossCharges]*[@Rate],2),"""")))","Test 3 units × $900 = $2,700; $10,000 × 0.60 = $6,000. Unsupported methods require their own validated method, not a silent fallback.",CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,2,EXAMPLES!A11:H11; EXAMPLES!A12:H12,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT07; AT10
N13,Effective-rate match count,FORMULA_CATALOG!A17:D17,F10,D01; D07; D23,"Specification: =COUNTIFS(tRates[PayerID],[@PayerID],tRates[ServiceID],[@ServiceID],tRates[From],""<=""&[@PricingDate],tRates[To],"">=""&[@PricingDate],tRates[State],""READY"")","0 = missing, 1 = eligible for retrieval, >1 = overlap/block. Include code/modifier/setting/provider distinctions in the resolved ServiceID or matching keys.",CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,2,EXAMPLES!A13:H13; EXAMPLES!A14:H14,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT10
N14,Rate retrieval with reusable match position,FORMULA_CATALOG!A18:D18,F10,D01; D07; D23,"Specification: Rate = IF(MatchCount=1,INDEX(tRates[Rate],RateRow),""""); Method = IF(MatchCount=1,INDEX(tRates[Method],RateRow),"""")",RateRow resolves the same unique effective-dated candidate; recompute on sort/edit. Do not MATCH payer alone or persist a worksheet row number as a business key.,CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,0,,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT10
N15,Payer share,FORMULA_CATALOG!A19:D19,F11,D06; D07; D08; D17,Specification: PayerShare = PayerPatientDays / AllInScopePatientDays,"Mutually exclusive primary-payer allocation on each day, including unknown; day-type and charity shares use separate dimensions. No double-counted secondary coverage.",CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,1,EXAMPLES!A10:H10,Cached worked-example result only where a row exists; not all acceptance covered,DEFINITIONS R-20 text still calls Unknown workflow unresolved; current PAYER_MIX explicitly retains Unknown units. Preserve observed counts and separate unresolved pricing.,AT11
N16,UR unit reconciliation,FORMULA_CATALOG!A20:D20,F12,D03; D09; D24,Specification: Submitted - Authorized - Denied - Pending = 0,"All statuses disjoint, unit type explicit, authorization interval validated; test uncovered service days and expiry.",CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,0,,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT12
N17,IOP enrolled as of date,FORMULA_CATALOG!A21:D21,F13,D02; D05; D06,"Specification: =COUNTIFS(tEnroll[Start],""<=""&AsOfDate,tEnroll[End],"">""&AsOfDate)+COUNTIFS(tEnroll[Start],""<=""&AsOfDate,tEnroll[End],"""")",Enrollment end excluded by proposed convention; validate overlapping enrollment episodes for patient/program. Pending referrals are a different state.,CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,0,,Cached worked-example result only where a row exists; not all acceptance covered,Preserved date-only candidate COUNTIFS omits ENROLLED/valid-state predicates and would count active pending referrals. Translation must require valid ENROLLED status and keep pending pipeline separate; AT13.,AT13
N18,Attendance / no-show rate,FORMULA_CATALOG!A22:D22,F13; F14,D02; D05; D06,Specification: AttendanceRate = AttendedScheduledVisits / EligibleScheduledVisits; NoShows = Scheduled - Attended - ApprovedCancelled,Zero schedules -> blank ratio. Do not count unscheduled enrolled people as no-shows. Define cancellations and make-up visits explicitly.,CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,1,EXAMPLES!A19:H19,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT13; AT14
N19,Attendance grid cell,FORMULA_CATALOG!A23:D23,F14,D05; D06,"Specification: =COUNTIFS(tVisits[PatientID],$A5,tVisits[ServiceDate],B$4,tVisits[Attendance],""ATTENDED"")",Grid presentation maps scheduled/not-scheduled/no-show/cancelled separately. Use the ledger as the single editable source or provide a controlled writeback path; no competing manual totals.,CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,0,,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT14
N20,IOP service measures,FORMULA_CATALOG!A24:D24,F15,D06; D22,Specification: ParticipantServiceUnits = SUM(DeliveredServices); PatientDays = distinct eligible patient-date-program; Sessions = distinct SessionID,Three separate denominators. Visit-to-service breakdown must reconcile; multiple same-day service lines cannot create duplicate billable patient-days.,CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,0,,Cached worked-example result only where a row exists; not all acceptance covered,"Sessions, participant units and patient-days are distinct; billability requires separate authoritative source evidence.",AT15
N21,Payable meals,FORMULA_CATALOG!A25:D25,F16,D06; D14,Specification: PayableMeals = DeliveredMeals - ReviewedNonpayableMeals + ApprovedSignedMealCorrections,"Counts must remain nonnegative, tied to visits and appropriate contract scope. Meals are not automatically equal to attendance.",CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,1,EXAMPLES!A20:H20,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT16
N22,Productive and paid hours,FORMULA_CATALOG!A26:D26,F17; F20,D11; D17; D19; D04,Specification: ProductiveHours = sum of disjoint productive labor lines; PaidHours = ProductiveHours + PTOHours + TrainingHours + OtherPaidNonproductive,Agency and one-to-one are attributes/subsets where applicable. Each hour counted once; define productive roles rather than sum every numeric column.,CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,1,EXAMPLES!A22:H22,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT17; AT20
N23,Hours variance,FORMULA_CATALOG!A27:D27,F18,D11; D12; D13; D17,"Specification: HoursVariance = ActualProductiveHours - BudgetProductiveHours; HoursVariancePct = IF(BudgetProductiveHours=0,"""",HoursVariance/BudgetProductiveHours)",Positive means more hours than budget. Display favorable/unfavorable meaning separately from arithmetic sign.,CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,0,,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT18
N24,Rolling staffing average,FORMULA_CATALOG!A28:D28,F18,D11; D12; D13; D17,"Specification: =IF(RecordedDaysInWindow=WindowDays,SUMIFS(tStaffDay[ProductiveHours],tStaffDay[Date],"">=""&WindowStart,tStaffDay[Date],""<=""&AsOfDate)/WindowDays,"""")","Window must be explicit, e.g. 7 completed calendar days. Flat staffing budgets restored first; census bands remain optional reviewed configuration.",CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,1,EXAMPLES!A21:H21,Cached worked-example result only where a row exists; not all acceptance covered,Candidate complete-seven-day rule conflicts with available-day workbook example; resolve definition and visible denominator.,AT18
N25,Agency cost,FORMULA_CATALOG!A29:D29,F19,D11; D12,Specification: AgencyCost = SUM(AgencyHoursByRole × EffectiveAgencyRateByRole),"Rate interval validated per labor date; missing rate blocks that cost, not zeroes it. Rates in worked examples are fictional.",CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,1,EXAMPLES!A23:H23,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT19
N26,One-to-one cost,FORMULA_CATALOG!A30:D30,F19,D11; D12,Specification: OneToOneCost = SUM(OneToOneHoursByRole × ApplicableOneToOneCostRate),Identify whether this is a subset disclosure or incremental expense; never add subset cost twice to total labor.,CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,0,,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT19
N27,HPPD,FORMULA_CATALOG!A31:D31,F20,D04; D11; D17,"Specification: HPPD = IF(PatientDays=0,"""",ProductiveHours/PatientDays)","Numerator program and role scope must match denominator. Positive hours with zero census shown as a separate exception, not discarded.",CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,1,EXAMPLES!A24:H24,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT20
N28,Revenue variance,FORMULA_CATALOG!A32:D32,F21; F25,D08; D11; D13; D17; D04; D15; D16; D20,"Specification: RevenueVariance = ModeledActual - RevenueBudget; VariancePct = IF(RevenueBudget=0,"""",RevenueVariance/RevenueBudget)",Distinguish modeled allowance from booked revenue. Labor cost variance separately uses actual labor cost and matching labor budget.,CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,2,EXAMPLES!A25:H25; EXAMPLES!A26:H26,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT21; AT25
N29,Phased budget,FORMULA_CATALOG!A33:D33,F21,D08; D11; D13; D17,"Specification: =SUMIFS(tBudgetDay[Amount],tBudgetDay[Date],"">=""&PeriodStart,tBudgetDay[Date],""<=""&ReportCutoff,tBudgetDay[Program],SelectedProgram)",Daily phasing weights per month sum to 1. Uniform calendar-day allocation only when explicitly selected; retain full-month comparison beside phased view.,CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,1,EXAMPLES!A27:H27,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT21
N30,Ancillary invoice,FORMULA_CATALOG!A34:D34,F22,D06; D11; D14,"Specification: LineAmount = ROUND(Quantity × UnitRate,2); TotalFees = SUM(LineAmounts)+FixedFees; BalanceDue = TotalFees+SignedAdjustments-PaymentsAllocatedToInvoice","Lease reported separately unless a reviewed contract includes it; housekeeping, laundry, dietary and IOP meals must remain distinct.",CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,2,EXAMPLES!A28:H28; EXAMPLES!A29:H29,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT22
N31,Cash and outstanding,FORMULA_CATALOG!A35:D35,F23,D08; D15,Specification: NetCash = SUM(SignedReceipts); UnappliedCash = NetCash-SUM(SignedAllocations); ModeledOutstanding = NetModeledAllowance-NetAllocatedReceipts,Do not label modeled outstanding as booked accounts receivable. Receipt and allocation reversals preserve originals; negative receipts require valid references.,CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,2,EXAMPLES!A30:H30; EXAMPLES!A31:H31,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT23
N32,Forecast,FORMULA_CATALOG!A36:D36,F24,D07; D13; D16,Specification: ForecastAllowance = SUM(ForecastUnits × ForecastEffectiveRate),"Separate scenario/version and as-of date. A forecast must not change actual census, receipts or approved budgets.",CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,1,EXAMPLES!A32:H32,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT24
N33,YTD aggregation,FORMULA_CATALOG!A37:D37,F25,D04; D08; D11; D13; D15; D16; D17; D20,Specification: YTD Revenue = sum of ready elapsed-period modeled allowance; YTD ADC = elapsed patient-days / elapsed calendar days,Do not average monthly ADC/occupancy percentages; use weighted denominators. Incomplete required periods show a reason rather than silently disappearing.,CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,0,,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT25
N34,Definition coverage,FORMULA_CATALOG!A38:D38,F26,D17; D23,"Specification: For every displayed MetricID: exactly one active definition, grain, numerator, denominator, time basis, owner and rule mapping",All 25 source metric IDs included; additional definitions get new IDs. No duplicate competing business formulas in audit sheets.,CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,0,,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT26
N35,Correction audit,FORMULA_CATALOG!A39:D39,F27,D18; D19; D20; D24,Specification: Correction record = RecordID + old value + new value + reason + actor + entered-at + reporting period,Excel alone does not guarantee immutable history or authenticated approval. Explicit reviewed log and archived versions; no claim of enforced access control.,CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,0,,Cached worked-example result only where a row exists; not all acceptance covered,Excel journal is editable; application record-specific authenticated persistence must be proven.,AT27; AT33
N36,Feature-completeness gate,FORMULA_CATALOG!A40:D40,F28,D17; D18,Specification: All required F-IDs have source mapping + implemented location + passed test evidence; unresolved cases explicitly listed,Feature completeness is a separate terminal checklist from arithmetic reconciliation; never use test outcomes as business inputs.,CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,0,,Cached worked-example result only where a row exists; not all acceptance covered,Arithmetic PASS does not imply feature/workflow/test completeness.,AT28
N37,Duplicate and join controls,FORMULA_CATALOG!A41:D41,F29,D01; D17; D18,"Specification: =IF([@PatientID]="""",""EMPTY"",IF(COUNTIF(tPatients[PatientID],[@PatientID])=1,""VALID"",""DUPLICATE""))","Keep validation near the owning master; reuse a resolved key/status where valid. Test duplicate, orphan, deletion, sort and key edit.",CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,0,,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT02; AT29
N38,Growth and performance,FORMULA_CATALOG!A42:D42,F29,D01; D17; D18,"Specification: Baseline / 5× / 10× data; record native open, full recalc, single edit, append, filter/sort and save times","Timing is a test protocol, not a formula. Preserve correctness at each size; no claim of speed based on use of INDEX alone.",CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,0,,Cached worked-example result only where a row exists; not all acceptance covered,Native growth and application workload benchmarks unmeasured.,AT29
N39,Actual reimbursement method boundary,FORMULA_CATALOG!A43:D43,F30,D07; D09; D23,Specification: Facility allowance = selected validated payment-method calculation using its effective-year inputs; benefit liability = separate validated benefit calculation,"Medicare IPF, hospital IOP/OPPS, Louisiana Medicaid and commercial methods are not interchangeable flat-rate formulas. Missing applicability inputs remain Unknown.",CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,0,,Cached worked-example result only where a row exists; not all acceptance covered,Published reference release and fictional applied contracts do not establish real facility payment applicability.,AT30
